Vị trí,Mã ngựa,Khoảng cách di chuyển
1,1,5
2,1,5
3,1,5
4,1,5
5,1,5
6,1,5
7,1,5
8,1,5
9,1,5
10,1,5
11,1,5
12,1,5
13,1,5
14,1,5
15,1,5
16,1,5
17,1,5
18,1,5
19,1,5
20,1,5
21,1,5
22,1,5
23,1,5
24,1,5
25,1,5
26,1,5
27,1,5
28,1,5
29,1,5
30,1,5
31,1,5
32,1,5
33,1,5
34,1,5
35,1,5
36,1,5
37,1,5
38,1,5
39,1,5
40,1,5
41,1,5
42,1,5
43,1,5
44,1,5
45,1,5
46,1,5
47,1,5
48,1,5
49,1,5
50,1,5
51,1,5
52,1,5
53,1,5
54,1,4
55,1,4
56,1,4
57,1,4
58,1,4
59,1,4
60,1,4
61,1,4
62,1,4
63,1,4
64,1,4
65,1,4
66,1,4
67,1,4
68,1,4
69,1,4
70,1,4
71,1,4
72,1,4
73,1,4
74,1,4
75,1,4
76,1,4
77,1,4
78,1,4
79,1,4
80,1,4
81,1,4
82,1,4
83,1,4
84,1,4
85,1,4
86,1,4
87,1,4
88,1,4
89,1,4
90,1,4
91,1,4
92,1,4
93,1,4
94,1,4
95,1,4
96,1,4
97,1,4
98,1,4
99,1,4
100,1,4
101,1,4
102,1,4
103,1,4
104,1,4
105,1,4
106,1,4
107,1,4
108,1,4
109,1,4
110,1,4
111,1,4
112,1,4
113,1,4
114,1,4
115,1,3
1,2,5
2,2,5
3,2,5
4,2,5
5,2,5
6,2,5
7,2,5
8,2,5
9,2,5
10,2,5
11,2,5
12,2,5
13,2,5
14,2,5
15,2,5
16,2,5
17,2,5
18,2,5
19,2,5
20,2,5
21,2,5
22,2,5
23,2,5
24,2,5
25,2,5
26,2,5
27,2,5
28,2,5
29,2,5
30,2,5
31,2,5
32,2,5
33,2,5
34,2,5
35,2,5
36,2,5
37,2,5
38,2,5
39,2,5
40,2,5
41,2,5
42,2,5
43,2,5
44,2,5
45,2,5
46,2,5
47,2,5
48,2,5
49,2,5
50,2,5
51,2,5
52,2,5
53,2,5
54,2,4
55,2,4
56,2,4
57,2,4
58,2,4
59,2,4
60,2,4
61,2,4
62,2,4
63,2,4
64,2,4
65,2,4
66,2,4
67,2,4
68,2,4
69,2,4
70,2,4
71,2,4
72,2,4
73,2,4
74,2,4
75,2,4
76,2,4
77,2,4
78,2,4
79,2,4
80,2,4
81,2,4
82,2,4
83,2,4
84,2,4
85,2,4
86,2,4
87,2,4
88,2,4
89,2,4
90,2,4
91,2,4
92,2,4
93,2,4
94,2,4
95,2,4
96,2,4
97,2,4
98,2,4
99,2,4
100,2,4
101,2,4
102,2,4
103,2,4
104,2,4
105,2,4
106,2,4
107,2,4
108,2,4
109,2,4
110,2,4
111,2,4
112,2,4
113,2,4
114,2,4
115,2,3
116,2,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,2
122,2,2
123,2,2
124,2,2
125,2,2
126,2,2
127,2,2
128,2,2
129,2,2
130,2,2
131,2,2
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,2,2
138,2,2
1,3,5
2,3,5
3,3,5
4,3,5
5,3,5
6,3,5
7,3,5
8,3,5
9,3,5
10,3,5
11,3,5
12,3,5
13,3,5
14,3,5
15,3,5
16,3,5
17,3,5
18,3,5
19,3,5
20,3,5
21,3,5
22,3,5
23,3,5
24,3,5
25,3,5
26,3,5
27,3,5
28,3,5
29,3,5
30,3,5
31,3,5
32,3,5
33,3,5
34,3,5
35,3,5
36,3,5
37,3,5
38,3,5
39,3,5
40,3,5
41,3,5
42,3,5
43,3,5
44,3,5
45,3,5
46,3,5
47,3,5
48,3,5
49,3,5
50,3,5
51,3,5
52,3,5
53,3,5
1,4,5
2,4,5
3,4,5
4,4,5
5,4,5
6,4,5
7,4,5
8,4,5
9,4,5
10,4,5
11,4,5
12,4,5
13,4,5
14,4,5
15,4,5
16,4,5
17,4,5
18,4,5
19,4,5
20,4,5
21,4,5
22,4,5
23,4,5
24,4,5
25,4,5
26,4,5
27,4,5
28,4,5
29,4,5
30,4,5
31,4,5
32,4,5
33,4,5
34,4,5
35,4,5
36,4,5
37,4,5
38,4,5
39,4,5
40,4,5
41,4,5
42,4,5
43,4,5
44,4,5
45,4,5
46,4,5
47,4,5
48,4,5
49,4,5
50,4,5
51,4,5
52,4,5
53,4,5
54,4,4
55,4,4
56,4,4
57,4,4
58,4,4
59,4,4
60,4,4
61,4,4
62,4,4
